"rxns","metabolite","n0","n5","c0","c5","log2FC_0","log2FC_5","label_flag"
"HMR_9203","D-xylose",0,0,0,0,0,0,FALSE
"HMR_9204","glycophosphatidylinositol-(GPI)-anchored-protein-precursor",0,0,0,0,0,0,FALSE
"HMR_9205","10-formyl-THF",0,0,0,0,0,0,FALSE
"HMR_9206","10-formyl-THF-glu(5)",0,0,0,0,0,0,FALSE
"HMR_9207","10-formyl-THF-glu(6)",0,0,0,0,0,0,FALSE
"HMR_9208","10-formyl-THF-glu(7)",0,0,0,0,0,0,FALSE
"HMR_9219","L-dopa",0,0,0,0,0,0,FALSE
"HMR_9220","cGMP",0,0,0,0,0,0,FALSE
"HMR_9230","5alpha-dihydrotestosterone-glucuronide",0,0,0,0,0,0,FALSE
"HMR_9232","pentaglutamyl-folate(DHF)",0,0,0,0,0,0,FALSE
"HMR_9234","5-methyl-THF",0.002264941,0.002265092,0,0,-11.1458945817801,-11.1459907183048,TRUE
"HMR_9235","pentaglutamyl-folate(THF)",0,0,0,0,0,0,FALSE
"HMR_9236","hexaglutamyl-folate(DHF)",0,0,0,0,0,0,FALSE
"HMR_9238","hexaglutamyl-folate(THF)",0,0,0,0,0,0,FALSE
"HMR_9239","heptaglutamyl-folate(DHF)",0,0,0,0,0,0,FALSE
"HMR_9240","heptaglutamyl-folate(THF)",0,0,0,0,0,0,FALSE
"HMR_9243","acetone",0,0,0,0,0,0,FALSE
"HMR_9253","adenine",0,0,0,0,0,0,FALSE
"HMR_9254","adenosine",0,0,0,0,0,0,FALSE
"HMR_9255","ADP",0,0,0,0,0,0,FALSE
"HMR_9257","etiocholan-3alpha-ol-17-one 3-glucuronide",0,0,0,0,0,0,FALSE
"HMR_9258","1-alkyl-2-lysoglycerol-3-phosphocholine",0,0,0,0,0,0,FALSE
"HMR_9259","AKG",0.028083781,0,0.257305037,0,3.19562484826049,0,FALSE
"HMR_9260","beta-alanine",0,0,0,0,0,0,FALSE
"HMR_9262","AMP",0,0,0,0,0,0,FALSE
"HMR_9264","androsterone-glucuronide",0,0,0,0,0,0,FALSE
"HMR_9265","antipyrine",0,0,0,0,0,0,FALSE
"HMR_9267","(+)-alpha-pinene",0,0,0,0,0,0,FALSE
"HMR_9268","20alpha-hydroxy-4-pregnen-3-one",0,0,0,0,0,0,FALSE
"HMR_9270","L-arabinose",0,0,0,0,0,0,FALSE
"HMR_9272","bilirubin-monoglucuronoside",0,0,0,0,0,0,FALSE
"HMR_9273","bilirubin",0,0,0,0,0,0,FALSE
"HMR_9275","cAMP",0,0,0,0,0,0,FALSE
"HMR_9279","cys-gly",0,0,0,0,0,0,FALSE
