"rxns","metabolite","log2FC_muscle","log2FC_brain","label_flag"
"EX_M00234[e]","1,2-diacylglycerol-chylomicron pool",0,0,FALSE
"EX_M01807[e]","fatty acid-chylomicron pool",0,0,FALSE
"EX_M00503[e]","1-acylglycerol-chylomicron pool",0,0,FALSE
"EX_M00241[e]","1,2-diacylglycerol-VLDL pool",0,0,FALSE
"EX_M01820[e]","fatty acid-VLDL pool",0,0,FALSE
"EX_M00510[e]","1-acylglycerol-VLDL pool",0,0,FALSE
"EX_M00003[e]","(10Z)-heptadecenoic acid",0,0,FALSE
"EX_M00008[e]","(11Z,14Z)-eicosadienoic acid",0,0,FALSE
"EX_M00010[e]","(11Z,14Z,17Z)-eicosatrienoic acid",0,0,FALSE
"EX_M00017[e]","(13Z)-eicosenoic acid",0,0,FALSE
"EX_M00019[e]","(13Z)-octadecenoic acid",0,0,FALSE
"EX_M00021[e]","(13Z,16Z)-docosadienoic acid",0,0,FALSE
"EX_M00115[e]","(7Z)-octadecenoic acid",0,0,FALSE
"EX_M00117[e]","(7Z)-tetradecenoic acid",0,0,FALSE
"EX_M00260[e]","10,13,16,19-docosatetraenoic acid",0,0,FALSE
"EX_M00265[e]","10,13,16-docosatriynoic acid",0,0,FALSE
"EX_M00315[e]","12,15,18,21-tetracosatetraenoic acid",0,0,FALSE
"EX_M00341[e]","13,16,19-docosatrienoic acid",0,0,FALSE
"EX_M01197[e]","7-palmitoleic acid",0,0,FALSE
"EX_M01207[e]","8,11-eicosadienoic acid",0,0,FALSE
"EX_M01235[e]","9-eicosenoic acid",0,0,FALSE
"EX_M01238[e]","9-heptadecylenic acid",0,0,FALSE
"EX_M01582[e]","cis-cetoleic acid",0,0,FALSE
"EX_M02053[e]","henicosanoic acid",0,0,FALSE
"EX_M02457[e]","mead acid",0,0,FALSE
"EX_M02613[e]","nonadecylic acid",0,0,FALSE
"EX_M02745[e]","physeteric acid",0,16.4274101659422,TRUE
"EX_M03045[e]","tricosanoic acid",0,0,FALSE
"EX_M03051[e]","tridecylic acid",0,0,FALSE
"EX_M03153[e]","ximenic acid",0,0,FALSE
"EX_h2co3[e]","carbonate",0,0,FALSE
"EX_M02446[e]","maltoheptaose",0,0,FALSE
"EX_M02447[e]","maltohexaose",0,0,FALSE
"EX_M02451[e]","maltotetraose",0,0,FALSE
"EX_M02035[e]","guanidine",0,0,FALSE
"HMR_10024","biomass",1.00056798402193e-08,-1.57179478321723e-08,FALSE
"HMR_10026","chenodiol",0,0,FALSE
"HMR_10027","LacCer pool",0,0,FALSE
"HMR_10047","1,2-diacylglycerol-LD-PC pool",0,0,FALSE
