"rxns","metabolite","log2FC_muscle","log2FC_brain","label_flag"
"HMR_9285","cholesterol",0,0,FALSE
"HMR_9286","citrate",0,0,FALSE
"HMR_9287","CMP",0,0,FALSE
"HMR_9290","creatine",-20.1149072877254,0,TRUE
"HMR_9291","cytosine",0,0,FALSE
"HMR_9292","L-carnitine",0,0,FALSE
"HMR_9295","cytidine",0,0,FALSE
"HMR_9296","deoxycytidine",0,0,FALSE
"HMR_9297","deoxyadenosine",0,0,FALSE
"HMR_9300","deoxyguanosine",0,0,FALSE
"HMR_9301","dehydroascorbic acid",0,0,FALSE
"HMR_9302","dehydroepiandrosterone sulfate",0,0,FALSE
"HMR_9303","dihydrofolate",0,0,FALSE
"HMR_9304","digalactosylceramidesulfate",0,0,FALSE
"HMR_9305","deoxyinosine",0,0,FALSE
"HMR_9310","deoxyuridine",0,0,FALSE
"HMR_9317","estrone 3-sulfate",0,0,FALSE
"HMR_9318","formate",9.97448879047624e-09,7.67033547788287e-10,FALSE
"HMR_9330","6-deoxy-L-galactose",0,0,FALSE
"HMR_9338","(5-L-glutamyl)-L-amino acid",0,0,FALSE
"HMR_9340","GDP",0,0,FALSE
"HMR_9343","GMP",0,0,FALSE
"HMR_9346","GQ1b",0,0,FALSE
"HMR_9348","guanosine",0,0,FALSE
"HMR_9350","GSSG",0,0,FALSE
"HMR_9352","GTP",0,0,FALSE
"HMR_9353","guanine",21.6783508124841,0,TRUE
"HMR_9354","H2O2",0,0,FALSE
"HMR_9359","IDP",0,0,FALSE
"HMR_9360","IMP",0,0,FALSE
"HMR_9366","leukotriene C4",0,0,FALSE
"HMR_9370","maltose",0,0,FALSE
"HMR_9371","maltotriose",0,0,FALSE
"HMR_9372","methanol",0,0,FALSE
"HMR_9376","NAD+",0,0,FALSE
"HMR_9377","NADP+",0,0,FALSE
"HMR_9383","O2-",0,0,FALSE
"HMR_9386","hydroxide",0,0,FALSE
"HMR_9394","D-proline",0,0,FALSE
"HMR_9397","prostaglandin E2",0,0,FALSE
"HMR_9398","prostaglandin F2alpha",0,0,FALSE
"HMR_9399","pyridoxamine",0,0,FALSE
"HMR_9411","sphingosine-1-phosphate",0,0,FALSE
"HMR_9412","serotonin",0,0,FALSE
"HMR_9416","sucrose",0,0,FALSE
"HMR_9418","taurine",0,0,FALSE
"HMR_9421","THF",0,0,FALSE
"HMR_9422","thymine",0,0,FALSE
"HMR_9426","trehalose",0,0,FALSE
"HMR_9427","triiodothyronine",0,0,FALSE
"HMR_9435","UDP",0,0,FALSE
"HMR_9436","UMP",0,0,FALSE
"HMR_9437","uracil",25.0902547918914,2.08618358833543,TRUE
"HMR_9438","urea",0,-20.1149072876177,TRUE
"HMR_9439","uridine",-23.4064588217524,0,TRUE
"HMR_9440","UTP",-20.247656971553,0,TRUE
"HMR_9441","vitamin D2",0,0,FALSE
"HMR_9445","16-hydroxyhexadecanoic acid",0,0,FALSE
"HMR_9447","galactosylglycerol",0,0,FALSE
"HMR_9448","maltodecaose",0,0,FALSE
"HMR_9450","XTP",0,0,FALSE
"HMR_9456","ADP-glucose",0,0,FALSE
"HMR_9457","ADP-mannose",0,0,FALSE
"HMR_9460","creatinine",0,0,FALSE
"HMR_9682","4-nitrophenyl-phosphate",0,0,FALSE
"HMR_9683","5-L-gamma-glutamyl",0,0,FALSE
"HMR_9685","D-glucitol",0,0,FALSE
"HMR_9692","spermine dialdehyde",0,0,FALSE
"HMR_9702","coproporphyrin III",0,0,FALSE
"HMR_9715","spermine",0,0,FALSE
"EX_adrn[e]","adrenic acid",0,0,FALSE
"EX_arach[e]","eicosanoate",0,0,FALSE
"EX_arachd[e]","arachidonate",-8.65592929317236,0,TRUE
"EX_atp[e]","ATP",0,0,FALSE
"EX_clpnd[e]","DPA",0,0,FALSE
"EX_crvnc[e]","DHA",17.4717272947399,0,TRUE
"EX_dcsptn1[e]","(4Z,7Z,10Z,13Z,16Z)-DPA",0,0,FALSE
"EX_dlnlcg[e]","dihomo-gamma-linolenate",0,0,FALSE
"EX_eicostet[e]","omega-3-arachidonic acid",0,0,FALSE
"EX_elaid[e]","elaidate",0,0,FALSE
"EX_glygn2[e]","glycogenin G4G7",0,0,FALSE
"EX_glygn4[e]","Glycogen, Structure 4 (Glycogenin-1,6-{2",0,0,FALSE
"EX_hdca[e]","palmitate",0,0,FALSE
"EX_hdcea[e]","palmitolate",0,0,FALSE
"EX_hexc[e]","cerotic acid",0,0,FALSE
"EX_hista[e]","histamine",0,0,FALSE
"EX_hpdca[e]","margaric acid",0,0,FALSE
"EX_lgnc[e]","lignocerate",0,0,FALSE
"EX_lneldc[e]","(6Z,9Z)-octadecadienoic acid",0,0,FALSE
"EX_lnlncg[e]","gamma-linolenate",0,0,FALSE
"EX_lpchol_hs[e]","2-lysolecithin pool",0,0,FALSE
"EX_nrvnc[e]","nervonic acid",0,0,FALSE
"EX_ocdca[e]","stearate",0,0,FALSE
"EX_ocdcea[e]","oleate",0,0,FALSE
"EX_pchol_hs[e]","PC-LD pool",-13.9430556898265,0,TRUE
"EX_pe_hs[e]","PE-LD pool",0,0,FALSE
"EX_pglyc_hs[e]","PG-CL pool",0,0,FALSE
"EX_ps_hs[e]","PS-LD pool",0,0,FALSE
"EX_ptdca[e]","pentadecylic acid",0,0,FALSE
"EX_strdnc[e]","stearidonic acid",0,0,FALSE
"EX_tag_hs[e]","TAG-VLDL pool",0,0,FALSE
"EX_tethex3[e]","(6Z,9Z,12Z,15Z,18Z,21Z)-THA",0,0,FALSE
"EX_tetpent3[e]","(9Z,12Z,15Z,18Z,21Z)-TPA",0,0,FALSE
"EX_tetpent6[e]","(6Z,9Z,12Z,15Z,18Z)-TPA",0,0,FALSE
"EX_tettet6[e]","(9Z,12Z,15Z,18Z)-TTA",0,0,FALSE
"EX_tmndnc[e]","EPA",0,0,FALSE
"EX_ttdca[e]","myristic acid",0,0,FALSE
"EX_vacc[e]","cis-vaccenic acid",0,0,FALSE
"EX_4abutn[e]","4-aminobutanal",0,0,FALSE
"EX_ctp[e]","CTP",0,0,FALSE
"EX_dgmp[e]","dGMP",0,0,FALSE
"EX_dgtp[e]","dGTP",0,0,FALSE
"EX_dha[e]","glycerone",0,0,FALSE
"EX_dhap[e]","DHAP",0,0,FALSE
"EX_dtmp[e]","dTMP",0,0,FALSE
"EX_dttp[e]","dTTP",0,0,FALSE
"EX_fad[e]","FAD",0,0,FALSE
"EX_HC01577[e]","gamma-glutamyl-beta-cyanoalanine",0,0,FALSE
"EX_HC01609[e]","uroporphyrinogen I",0,0,FALSE
"EX_HC01610[e]","coproporphyrinogen I",0,0,FALSE
"EX_HC01700[e]","gamma-glutamyl-3-aminopropiononitrile",0,0,FALSE
"EX_HC02160[e]","GM2",0,0,FALSE
"EX_HC02161[e]","GM1",0,0,FALSE
"EX_prpp[e]","PRPP",0,0,FALSE
"EX_cdp[e]","CDP",0,0,FALSE
"EX_dtdp[e]","dTDP",0,0,FALSE
"EX_HC00955[e]","L-3-cyanoalanine",0,0,FALSE
"EX_HC00004[e]","apoA1",0,0,FALSE
"EX_HC01939[e]","haptoglobin",0,0,FALSE
"EX_HC00822[e]","chitobiose",0,0,FALSE
"EX_HC02220[e]","sulfochenodeoxycholate",0,0,FALSE
"EX_HC02201[e]","S-glutathionyl-ethacrynic acid",0,0,FALSE
"EX_HC02198[e]","sulfotaurolithocholate",0,0,FALSE
"EX_CE1935[e]","spermine monoaldehyde",0,0,FALSE
"EX_CE1940[e]","spermidine monoaldehyde 2",0,0,FALSE
"EX_CE1943[e]","spermidine dialdehyde",0,0,FALSE
"EX_CE1939[e]","spermidine monoaldehyde 1",0,0,FALSE
"EX_CE2838[e]","maltononaose",0,0,FALSE
"EX_23cump[e]","2,3-cyclic-UMP",0,0,FALSE
"EX_3ump[e]","3-UMP",0,0,FALSE
"EX_CE5867[e]","N-acetyl-seryl-aspartyl-lysyl-proline",0,0,FALSE
"EX_CE5868[e]","N-acetyl-seryl-aspartate",0,0,FALSE
"EX_CE5869[e]","lysyl-proline",0,0,FALSE
"EX_crm_hs[e]","ceramide pool",0,0,FALSE
"EX_CE0074[e]","alloxan",0,0,FALSE
"EX_C04849[e]","hepoxilin A3",0,0,FALSE
"EX_doco13ac[e]","cis-erucic acid",0,0,FALSE
"EX_docosac[e]","behenic acid",0,0,FALSE
"EX_4hpro[e]","trans-4-hydroxy-L-proline",0,0,FALSE
"EX_fmn[e]","FMN",0,0,FALSE
"EX_ahcys[e]","SAH",0,0,FALSE
"EX_hLkynr[e]","3-hydroxy-L-kynurenine",0,0,FALSE
"EX_acrn[e]","O-acetylcarnitine",17.6189035494231,0,TRUE
"EX_pcrn[e]","O-propanoylcarnitine",0,0,FALSE
"EX_odecrn[e]","octadecenoylcarnitine(5)",0,0,FALSE
"EX_stcrn[e]","stearoylcarnitine",0,0,FALSE
"EX_pmtcrn[e]","L-palmitoylcarnitine",0,0,FALSE
"EX_hdcecrn[e]","palmitoleoyl-carnitine",0,0,FALSE
"EX_12HPET[e]","12(S)-HPETE",0,0,FALSE
"EX_amet[e]","SAM",0,0,FALSE
"EX_C04717[e]","13(S)-HPODE",0,0,FALSE
"EX_CE2537[e]","15(S)-HETrE",0,0,FALSE
"EX_pchol2linl_hs[e]","2-Linoleoylglycerophosphocholine",0,0,FALSE
"EX_pchol2ole_hs[e]","2-Oleoylglycerophosphocholine",0,0,FALSE
"EX_pchol2ste_hs[e]","2-Stearoylglycerophosphocholine",0,0,FALSE
"EX_pcholar_hs[e]","1-Arachidonoyl-Glycero-3-Phosphocholine",0,0,FALSE
"EX_pcholdoc_hs[e]","1-Docosahexaenoylglycerophosphocholine",0,0,FALSE
