"rxns","Average_High","Average_Low","Low-High","Model","Log_Flux_Value"
"FeEx_Biomass",42.2839336443518,42.2839336443412,-1.06084030448983e-11,"log_Average_High",1.62617538262237
"FeEx_Biomass",42.2839336443518,42.2839336443412,-1.06084030448983e-11,"log_Average_Low",1.62617538262226
"FeEx_Butyrate",270.559442097609,243.490826068074,-27.068616029535,"log_Average_High",2.43226269472521
"FeEx_Butyrate",270.559442097609,243.490826068074,-27.068616029535,"log_Average_Low",2.38648260307399
"FeEx_Folate",11.9622827311893,1.39571921003787,-10.5665635211515,"log_Average_High",1.07781406284321
"FeEx_Folate",11.9622827311893,1.39571921003787,-10.5665635211515,"log_Average_Low",0.144798055968539
"FeEx_NH3",0.285431482237632,26.0098996199221,25.7244681376845,"log_Average_High",-0.544498127198834
"FeEx_NH3",0.285431482237632,26.0098996199221,25.7244681376845,"log_Average_Low",1.41513867612521
"FeEx_PAN",11.9756444542216,31.9812759179077,20.0056314636861,"log_Average_High",1.07829889372596
"FeEx_PAN",11.9756444542216,31.9812759179077,20.0056314636861,"log_Average_Low",1.50489578627241
"FeEx_XAN",41.6858267537157,40.2523902748726,-1.43343647884309,"log_Average_High",1.61998841926753
"FeEx_XAN",41.6858267537157,40.2523902748726,-1.43343647884309,"log_Average_Low",1.60479167482476
