,msp_0005,msp_0166,msp_0313,msp_0380,msp_0570,msp_0573,msp_0627,msp_0881,msp_0884,msp_1219,msp_1782,msp_1786,msp_1787,msp_1788,msp_1793,msp_1799
GutSample53,1.18E-05,0.009943533,0.00027176,0.000204231,0.000175518,0,0,0,0.000175327,0,0,0,0,0,0,0
GutSample54,0,0.000647094,0.001288542,0.00234386,0.000162312,4.31E-05,0.000280794,0.002304828,0.001817152,7.72E-05,0,0,0,0,0,0
GutSample55,0.003246962,0.026313032,0.005057958,0.002610721,0.000145335,0.000222727,0.009434258,0.000184224,0.010406361,9.57E-05,0,0,0,0,0,0
GutSample56,0.050868659,0.000364757,0.004901044,3.90E-05,4.08E-05,2.19E-05,0,0.00341506,0.010667916,0.000209211,0,4.04E-05,0,0,0,0
GutSample57,0.073590356,0.008477038,3.95E-05,0.000607383,7.11E-05,0.000110746,0,0,0.000158698,2.21E-05,0,0,0,0,0,0
GutSample58,1.43E-05,0.000548121,0.00151742,0.002443114,0.000619992,1.07E-05,4.84E-05,0.006218554,0.011061006,0.000473805,0,0,0,0,0,0
GutSample59,0.004163752,0.001768738,0.011260449,0.001690767,0.015779277,0.000779112,0.003808748,0.026798811,0.013254378,0.001982908,0,0,0,0,0,0
GutSample60,0.003833849,0.00073477,0.00375418,0.007701006,0.000329189,1.11E-05,0,0.000764799,0.018536282,4.03E-05,1.96E-05,0,0,0,3.11E-05,0
GutSample61,0.003813949,0.001229539,7.66E-05,0.002543082,0,0.000474294,0,6.89E-05,2.47E-05,0,0,0,0,0,0,0
GutSample62,0.058316584,0.005948968,0.000227065,0.016651734,2.05E-05,0.001287095,0,0,0.000113652,0,0,0,0,0,0,0
GutSample63,0.00164252,0.000262854,0,0.001224108,0.000100694,0,0,0,8.18E-05,0,0,0,0,0,0,0
GutSample64,0.002055293,0.000324185,0.01394505,0.007330756,0,0.000461201,0,0,0.029837057,0.000135835,0,0,0,0,0,0
GutSample65,0.001982506,0.011188338,0.006856647,0.00013191,4.68E-05,0.000766392,0,0,0.00041791,0,0,0,0,0,0,0
GutSample66,0.003339502,0,0.090957264,0,0,0.000653814,0,0,0.004912509,7.54E-05,0,0,8.64E-06,0,0.005460301,0
GutSample67,0.032403965,0,0.22151285,0.053824573,0.018975092,0,0,0.131631108,0.255430679,0.054589859,6.17E-05,0,9.71E-05,0,0,0
GutSample68,0.000246864,0.000170064,0.002339377,0.000524465,0,0.000609945,0,4.04E-05,0.006817533,2.72E-05,0,0,0,0,0,0
GutSample69,0.017789767,9.61E-05,0.044002208,0,1.03E-05,0,0.000125021,3.02E-05,0.018938417,0.000142674,0,0,0,0,0.000312532,0
GutSample70,0.000179823,0.002602572,0.000237761,3.39E-05,0,0,0,6.74E-05,5.83E-05,5.22E-05,0,0,0,0,0,0
GutSample71,0.001718022,0.007707283,0.020836458,0.014903956,0.004265448,0.001640766,0,0.069251453,0.020113088,0.035298889,0,6.99E-05,0,3.57E-05,0,0
